Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,C,D1,There are no treatment plants,ALAMEDA  ,GW
CA0103041,TRAILER HAVEN MOBILE HOME PARK,C,D1,TD,ALAMEDA  ,SWP
CA0105002,RIVERS END MARINA,NC,NR,There are no treatment plants,ALAMEDA  ,GW
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,C,D1,There are no treatment plants,ALAMEDA  ,GWP
CA0105009,MOUNTAIN HOUSE SCHOOL,NTNC,D1,There are no treatment plants,ALAMEDA  ,SWP
CA0105010,EBRPD - DEL VALLE REGIONAL PARK,NC,NR,T2,ALAMEDA  ,SW
CA0105012,EBRPD - SUNOL REGIONAL WILDERNESS,NC,NR,TD,ALAMEDA  ,GW
CA0105013,EBRPD - PIEDMONT STABLES,NC,NR,TD,ALAMEDA  ,GW
CA0105016,MOUNTAIN HOUSE BAR,NC,NR,There are no treatment plants,ALAMEDA  ,GW
CA0105017,RANCHO LOS MOCHOS-BSA CAMP,NC,NR,There are no treatment plants,ALAMEDA  ,GW
CA0105018,PURPLE ORCHID RESORT SPA,NC,D1,There are no treatment plants,ALAMEDA  ,GW
CA0105019,SUNOL SUPER STOP,NC,NR,There are no treatment plants,ALAMEDA  ,GW
CA0105020,ALAMEDA COUNTY FAIRGROUNDS,NTNC,D1,T1,ALAMEDA  ,GW
CA0110001,ALAMEDA COUNTY WATER DISTRICT,C,D5,T5,ALAMEDA  ,SW
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,C,D5,T2,ALAMEDA  ,SWP
CA0110005,EAST BAY MUD,C,D5,T5,ALAMEDA  ,SW
CA0110006,CITY OF HAYWARD,C,D5,There are no treatment plants,ALAMEDA  ,SWP
CA0110008,CITY OF PLEASANTON,C,D5,T1,ALAMEDA  ,SWP
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,C,D5,There are no treatment plants,ALAMEDA  ,SWP
CA0110010,ZONE 7 WATER AGENCY,C,D4,T5,ALAMEDA  ,SW
CA0110011,CITY OF LIVERMORE,C,D4,There are no treatment plants,ALAMEDA  ,SWP
CA0110012,TOWN OF SUNOL - SFPUC,C,D1,There are no treatment plants,ALAMEDA  ,SWP
CA0110016,ALAMEDA POINT,C,D1,There are no treatment plants,ALAMEDA  ,SWP
CA0110018,SFPUC-PLEASANTON WELLS,C,D1,TD,ALAMEDA  ,GW
CA0110650,USBR-SLDMWA - CVP JONES PUMPING PLANT,NTNC,D1,T2,ALAMEDA  ,SW
CA0110701,LAWRENCE LIVERMORE NATIONAL LAB SITE 200,NTNC,D2,There are no treatment plants,ALAMEDA  ,SWP
CA0190001,DUBLIN SAN RAMON SERVICES DISTRICT,NP,,There are no treatment plants,ALAMEDA  ,
CA0190002,CITY OF LIVERMORE,NP,,There are no treatment plants,ALAMEDA  ,
CA0190003,EBMUD ENAQUA UV,NP,,There are no treatment plants,ALAMEDA  ,
CA0190004,EBMUD - SAN RAMON VALLEY RW,NP,,There are no treatment plants,ALAMEDA  ,
CA0190005,EBMUD - E. BAYSHORE RW,NP,,There are no treatment plants,ALAMEDA  ,
CA0190006,CITY OF HAYWARD,NP,,There are no treatment plants,ALAMEDA  ,
CA0190007,DERWA,NP,,There are no treatment plants,ALAMEDA  ,
CA0190008,CITY OF SAN LEANDRO,NP,,There are no treatment plants,ALAMEDA  ,
CA0190009,CITY OF PLEASANTON,NP,,There are no treatment plants,ALAMEDA  ,
CA0202501,DIAMOND VALLEY SCHOOL,NTNC,NR,There are no treatment plants,ALPINE  ,GW
CA0202502,WOODFORDS STATION,NC,NR,There are no treatment plants,ALPINE  ,GW
