"","PWSID","PWS_Name","Counties_Served","Primacy_FINAL","Final_inst_update","Inst_Subtype","ancillary","public","enfranchisement","Variablecoded","enfranchisement_final","SERVICE_CONNECTIONS","POPULATION","MHI","CALENVIRO_SCREEN_SCORE","FINAL_SAFER_STATUS","PRIMARY_MCL_VIOLATION","SECONDARY_MCL_VIOLATION","E_COLI_VIOLATION","TREATMENT_TECHNIQUE_VIOLATION","MONITORING_AND_REPORTING_VIOLATION","WEIGHTED_WATER_QUALITY_SCORE","WEIGHTED_ACCESSIBILITY_SCORE","WEIGHTED_AFFORDABILITY_SCORE","WEIGHTED_TMF_CAPACITY_SCORE","FUNDING_RECEIVED_SINCE_2017","Total_risk","CURRENT_FAILING","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE","EXTREME_WATER_BILL_RAW_SCORE","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","Intend.to.apply.","Application.complete.","FundingYorN","Type","Primary.Source.Water.Type","Source","Purchased","LN_POP"
"1","CA2400209","SAN LUIS HILLS","Merced","DISTRICT 11 - MERCED","California Water District",NA,"No","Yes","Variable","Limited","Limited",65,300,37850,47.78757446,"Failing","YES","NO","NO","NO","NO",0.5,1.5,0,0.67,0,2.67,"Failing",0,0,0,"Yes","No","No","C","SW","SW","Self-produced",5.70711026474888
"2","CA4510014","BELLA VISTA WATER DISTRICT","Shasta","DISTRICT 02 - LASSEN","California Water District",NA,"No","Yes","Variable","Limited","Limited",6451,18612,77762.23668,11.62730242,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0,0.67,0,1,"Not Failing",0,0,0,"Yes","Yes","No","C","SW","SW","Self-produced",9.83161554029833
"3","CA1810003","LASSEN COUNTY WATER DISTRICT #1","Lassen","DISTRICT 02 - LASSEN","County Waterworks District",NA,"No","Yes","Full",NA,"Full",147,450,28282,12.55569728,"Not At-Risk","NO","NO","NO","NO","NO",0.25,0.33,1,0.33,0,1.91,"Not Failing",NA,NA,0.5,"Yes","Yes","No","C","GW","GW","Self-produced",6.11146733950268
"4","CA3110022","MCKINNEY WATER DISTRICT","Placer","DISTRICT 02 - LASSEN","California Water District",NA,"No","Yes","Variable","Limited","Limited",253,853,66718.67716,NA,"Not At-Risk","NO","NO","NO","NO","NO",0,0.33,0.67,0,0,1,"Not Failing",0,0,1,"No","No","No","C","GW","GW","Self-produced",6.74993119378857
"5","CA2310012","IRISH BEACH WATER DISTRICT","Mendocino","DISTRICT 03 - MENDOCINO","California Water District",NA,"No","Yes","Variable","Limited","Limited",206,254,65256,12.38593077,"Not At-Risk","NO","NO","NO","NO","NO",0.25,0.5,1.25,0,0,2,"Not Failing",0.75,0.5,0.5,"No","No","No","C","SW","SW","Self-produced",5.54126354515843
"6","CA1700579","VILLA BLUE ESTATES WATER DISTRICT","Lake","DISTRICT 03 - MENDOCINO","California Water District",NA,"No","Yes","Variable","Unknown","Unknown",21,60,24308.68551,18.99840872,"At-Risk","NO","NO","NO","NO","NO",0.25,2,0.33,1,0,3.58,"Not Failing",0,0,0.5,"Did not complete survey","No","No","C","GW","GW","Self-produced",4.11087386417331
"7","CA3010092","IRVINE RANCH WATER DISTRICT","Orange","DISTRICT 08 - SANTA ANA","California Water District",NA,"No","Yes","Variable","Full","Full",121691,452772,140726.6586,3.038870758,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Yes","Yes","No","C","SW","SW","Self-produced",13.023146175118
"8","CA3010101","SANTA MARGARITA WATER DISTRICT","Orange","DISTRICT 08 - SANTA ANA","California Water District",NA,"No","Yes","Variable","Full","Full",54905,164038,135486.0716,7.543395414,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Yes","Yes","No","C","SWP","SW","Purchased",12.0078594834133
"9","CA3010079","EL TORO WATER DISTRICT","Orange","DISTRICT 08 - SANTA ANA","California Water District",NA,"No","Yes","Variable","Full","Full",9524,58821,86532.30796,10.56929015,"Potentially At-Risk","NO","NO","NO","NO","NO",0,0,2,0.5,0,2.5,"Not Failing",NA,NA,1,"Yes","Yes","No","C","SWP","SW","Purchased",10.9822712135701
"10","CA3010073","MOULTON NIGUEL WATER DISTRICT","Orange","DISTRICT 08 - SANTA ANA","California Water District",NA,"No","Yes","Variable","Full","Full",53618,170236,132935.262,9.642006863,"Not Assessed","NO","NO","NO","NO","NO",NA,NA,NA,NA,0,NA,"Not Failing",NA,NA,NA,"Yes","Yes","No","C","SWP","SW","Purchased",12.0449468627997
