"","PWSID","PWS_Name","Counties_Served","Primacy_FINAL","Final_inst_update","Inst_Subtype","Residential","public","enfranchisement","Variablecoded","enfranchisement_final","Changed_enfranchisement.","SERVICE_CONNECTIONS","POPULATION","MHI","CALENVIRO_SCREEN_SCORE","FINAL_SAFER_STATUS","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","FUNDING_RECEIVED_SINCE_2017","PRIMARY_MCL_VIOLATION","SECONDARY_MCL_VIOLATION","E_COLI_VIOLATION","TREATMENT_TECHNIQUE_VIOLATION","MONITORING_AND_REPORTING_VIOLATION","HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL","TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL","NUMBER_OF_WATER_SOURCES_RISK_LEVEL","ABESENCE_OF_INTERTIES_RISK_LEVEL","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL","SOURCE_CAPACITY_VIOLATION_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL","EXTREME_WATER_BILL_RISK_LEVEL","OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL","MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL","DAYS_CASH_ON_HAND_RISK_LEVEL","OPERATING_RATIO_RISK_LEVEL","Intend.to.apply.","Application.complete.","Type","Primary.Source.Water.Type","Source","Purchased","LN_POP","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL_BI","NUMBER_OF_WATER_SOURCES_RISK_LEVEL_BI","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL_BI","EXTREME_WATER_BILL_RISK_LEVEL_BI","FUNDING_any","FUNDING_any_failingoratriskonly","hasnotreceivedfunding","didnotapplycovid","TMF_combined_count","TMF_combined_any","Affordability_combined_count","Affordability_combined_any","Accessibility_combined_count","Accessibility_combined_any","WQ_combined_count","WQ_combined_any"
"1","CA2400209","SAN LUIS HILLS","Merced","DISTRICT 11 - MERCED","California Water District",NA,"Yes","Yes","Variable","Limited","Limited",NA,65,779,42692,47.78757446,"Potentially At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","Yes","No","C","SW","SW","Self-produced",6.65929391968364,"NONE","HIGH","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","2","1","0","0"
"2","CA4510014","BELLA VISTA WATER DISTRICT","Shasta","DISTRICT 02 - LASSEN","California Water District",NA,"Yes","Yes","Variable","Limited","Limited",NA,6489,18612,83464.07779,9.15211333,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SW","SW","Self-produced",9.83161554029833,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","1","1","0","0"
"3","CA1810003","LASSEN COUNTY WATER DISTRICT #1","Lassen","DISTRICT 02 - LASSEN","County Waterworks District",NA,"Yes","Yes","Full",NA,"Full",NA,147,450,28282,12.55569728,"Potentially At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","MEDIUM","NONE","HIGH","NONE","NONE","MEDIUM","NONE","NONE","NONE","NONE","HIGH","Yes","Yes","C","GW","GW","Self-produced",6.11146733950268,"NONE","NONE","HIGH","NONE","No",NA,NA,"No","0","0","1","1","1","1","0","0"
"4","CA3110022","MCKINNEY WATER DISTRICT","Placer","DISTRICT 02 - LASSEN","California Water District",NA,"Yes","Yes","Variable","Limited","Limited",NA,253,853,92824.86029,5.16941826,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","UNKNOWN","No","No","C","GW","GW","Self-produced",6.74993119378857,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","1","1","0","0"
"5","CA2310012","IRISH BEACH WATER DISTRICT","Mendocino","DISTRICT 03 - MENDOCINO","California Water District",NA,"Yes","Yes","Variable","Limited","Limited",NA,206,254,51300,12.38593077,"Potentially At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","MEDIUM","MEDIUM","NONE","NONE","HIGH","HIGH","No","No","C","SW","SW","Self-produced",5.54126354515843,"NONE","NONE","HIGH","HIGH","No",NA,NA,"Yes","1","1","3","1","1","1","0","0"
"6","CA1700579","VILLA BLUE ESTATES WATER DISTRICT","Lake","DISTRICT 03 - MENDOCINO","California Water District",NA,"Yes","Yes","Variable","Unknown","Unknown",NA,21,60,25913.6135,18.99840872,"At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","HIGH","Did not complete survey","No","C","GW","GW","Self-produced",4.11087386417331,"NONE","HIGH","NONE","NONE","No","No","Yes","Yes","1","1","1","1","2","1","0","0"
"7","CA3010092","IRVINE RANCH WATER DISTRICT","Orange","DISTRICT 08 - SANTA ANA","California Water District",NA,"Yes","Yes","Variable","Full","Full",NA,130276,433652,130382.4309,15.06451019,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SW","SW","Self-produced",12.9799999541101,NA,NA,NA,NA,"No",NA,NA,"No","0","0","0","0","0","0","0","0"
"8","CA3010101","SANTA MARGARITA WATER DISTRICT","Orange","DISTRICT 08 - SANTA ANA","California Water District",NA,"Yes","Yes","Variable","Full","Full",NA,55982,166600,136769.348,7.449210436,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SWP","SW","Purchased",12.0233570110978,NA,NA,NA,NA,"No",NA,NA,"No","0","0","0","0","0","0","0","0"
"9","CA3010079","EL TORO WATER DISTRICT","Orange","DISTRICT 08 - SANTA ANA","California Water District",NA,"Yes","Yes","Variable","Full","Full",NA,9534,47911,95069.28273,19.12799892,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SWP","SW","Purchased",10.7771212739443,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"10","CA3010073","MOULTON NIGUEL WATER DISTRICT","Orange","DISTRICT 08 - SANTA ANA","California Water District",NA,"Yes","Yes","Variable","Full","Full",NA,53620,170236,144884.587,8.802918548,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","C","SWP","SW","Purchased",12.0449468627997,NA,NA,NA,NA,"No",NA,NA,"No","0","0","0","0","0","0","0","0"
