PWSID,PWS_Name,Counties_Served,Primacy_FINAL,Final_inst_update,Inst_Subtype,ancillary,public,enfranchisement,Variablecoded,enfranchisement_final,SERVICE_CONNECTIONS,POPULATION,MHI,CALENVIRO_SCREEN_SCORE,FINAL_SAFER_STATUS,PRIMARY_MCL_VIOLATION,SECONDARY_MCL_VIOLATION,E_COLI_VIOLATION,TREATMENT_TECHNIQUE_VIOLATION,MONITORING_AND_REPORTING_VIOLATION,WEIGHTED_WATER_QUALITY_SCORE,WEIGHTED_ACCESSIBILITY_SCORE,WEIGHTED_AFFORDABILITY_SCORE,WEIGHTED_TMF_CAPACITY_SCORE,FUNDING_RECEIVED_SINCE_2017,Total_risk,CURRENT_FAILING,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE,EXTREME_WATER_BILL_RAW_SCORE,HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE,Intend.to.apply.,Application.complete.,FundingYorN,Type,Primary.Source.Water.Type,Source,Purchased,LN_POP
CA2400209,SAN LUIS HILLS,Merced,DISTRICT 11 - MERCED,California Water District,NA,No,Yes,Variable,Limited,Limited,65,300,37850,47.78757446,Failing,YES,NO,NO,NO,NO,0.5,1.5,0,0.67,0,2.67,Failing,0,0,0,Yes,No,No,C,SW,SW,Self-produced,5.707110264748875
CA4510014,BELLA VISTA WATER DISTRICT,Shasta,DISTRICT 02 - LASSEN,California Water District,NA,No,Yes,Variable,Limited,Limited,6451,18612,77762.23668,11.62730242,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0,0.67,0,1,Not Failing,0,0,0,Yes,Yes,No,C,SW,SW,Self-produced,9.831615540298333
CA1810003,LASSEN COUNTY WATER DISTRICT #1,Lassen,DISTRICT 02 - LASSEN,County Waterworks District,NA,No,Yes,Full,NA,Full,147,450,28282,12.55569728,Not At-Risk,NO,NO,NO,NO,NO,0.25,0.33,1,0.33,0,1.91,Not Failing,NA,NA,0.5,Yes,Yes,No,C,GW,GW,Self-produced,6.111467339502679
CA3110022,MCKINNEY WATER DISTRICT,Placer,DISTRICT 02 - LASSEN,California Water District,NA,No,Yes,Variable,Limited,Limited,253,853,66718.67716,NA,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.67,0,0,1,Not Failing,0,0,1,No,No,No,C,GW,GW,Self-produced,6.74993119378857
CA2310012,IRISH BEACH WATER DISTRICT,Mendocino,DISTRICT 03 - MENDOCINO,California Water District,NA,No,Yes,Variable,Limited,Limited,206,254,65256,12.38593077,Not At-Risk,NO,NO,NO,NO,NO,0.25,0.5,1.25,0,0,2,Not Failing,0.75,0.5,0.5,No,No,No,C,SW,SW,Self-produced,5.541263545158426
CA3010092,IRVINE RANCH WATER DISTRICT,Orange,DISTRICT 08 - SANTA ANA,California Water District,NA,No,Yes,Variable,Full,Full,121691,452772,140726.6586,3.038870758,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Yes,Yes,No,C,SW,SW,Self-produced,13.023146175117967
CA3010101,SANTA MARGARITA WATER DISTRICT,Orange,DISTRICT 08 - SANTA ANA,California Water District,NA,No,Yes,Variable,Full,Full,54905,164038,135486.0716,7.543395414,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Yes,Yes,No,C,SWP,SW,Purchased,12.007859483413286
CA3010079,EL TORO WATER DISTRICT,Orange,DISTRICT 08 - SANTA ANA,California Water District,NA,No,Yes,Variable,Full,Full,9524,58821,86532.30796,10.56929015,Potentially At-Risk,NO,NO,NO,NO,NO,0,0,2,0.5,0,2.5,Not Failing,NA,NA,1,Yes,Yes,No,C,SWP,SW,Purchased,10.982271213570051
CA3010073,MOULTON NIGUEL WATER DISTRICT,Orange,DISTRICT 08 - SANTA ANA,California Water District,NA,No,Yes,Variable,Full,Full,53618,170236,132935.262,9.642006863,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Yes,Yes,No,C,SWP,SW,Purchased,12.044946862799693
CA5010039,WESTERN HILLS WATER DISTRICT/DIABLO GRAN,Stanislaus,DISTRICT 10 - STOCKTON,California Water District,NA,No,Yes,Variable,Full,Full,596,2000,63664.96555,40.83938625,At-Risk,NO,NO,NO,NO,NO,1,1.33,1.33,1,0,4.66,Not Failing,1,1,0,No,No,No,C,SW,SW,Self-produced,7.601402334583733
CA1910234,WALNUT VALLEY WATER DISTRICT,Los Angeles,DISTRICT 16 - CENTRAL,California Water District,NA,No,Yes,Variable,Full,Full,27120,100202,101658.83,14.93085528,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Yes,Yes,No,C,SWP,SW,Purchased,11.514953407304466
CA4910029,CAMP MEEKER WATER SYSTEM,Sonoma,DISTRICT 18 - SONOMA,California Water District,NA,No,Yes,Variable,Full,Full,356,1171,57823.2077,9.985561025,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,No,No,No,C,GW,GW,Self-produced,7.066466970136958
CA1510016,RAND COMMUNITIES WATER DISTRICT,Kern,DISTRICT 19 - TEHACHAPI,California Water District,NA,No,Yes,Variable,Full,Full,277,303,17500,41.23572605,Failing,YES,NO,NO,NO,NO,2.5,0.33,1.33,1.33,3936388,5.49,Failing,1,1,0,Yes,Yes,Yes,C,GW,GW,Self-produced,5.717027701406222
CA3310040,FERN VALLEY WD,Riverside,DISTRICT 20 - RIVERSIDE,California Water District,NA,No,Yes,Variable,Limited,Limited,1178,900,84243.99158,16.4408878,Not At-Risk,NO,NO,NO,NO,NO,0,0,0,0.67,0,0.67,Not Failing,0,0,0,No,No,No,C,SW,SW,Self-produced,6.803505257608338
CA3301775,HIGH VALLEYS WATER DISTRICT,Riverside,DISTRICT 20 - RIVERSIDE,California Water District,NA,No,Yes,Variable,Limited,Limited,231,762,59377.8052,21.95203494,Potentially At-Risk,NO,NO,NO,NO,NO,0,1,0.67,1,0,2.67,Not Failing,0,0,1,Yes,No,No,C,GWP,GW,Purchased,6.637258031284457
CA3310038,RANCHO CALIFORNIA WATER DISTRICT,Riverside,DISTRICT 20 - RIVERSIDE,California Water District,NA,No,Yes,Variable,Full,Full,44063,144088,130537.0687,13.49287748,Not Assessed,NO,NO,NO,NO,NO,NA,NA,NA,NA,0,NA,Not Failing,NA,NA,NA,Yes,Yes,No,C,SWP,SW,Purchased,11.87818644319602
CA5810006,NORTH YUBA WATER DISTRICT,Yuba,DISTRICT 21 - VALLEY,California Water District,NA,No,Yes,Variable,Full,Full,793,2772,50040.18322,11.6899896,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0.33,0.67,500000,2.33,Not Failing,0,0,0.5,Yes,Yes,Yes,C,SW,SW,Self-produced,7.927685045615778
CA5210005,RIO ALTO WATER DISTRICT,Tehama,DISTRICT 21 - VALLEY,California Water District,NA,No,Yes,Variable,Full,Full,1412,3329,81836.00127,13.82201681,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.33,0,0,0.66,Not Failing,0,0,0.5,Yes,Yes,No,C,GW,GW,Self-produced,8.110727582974489
CA1000345,PANOCHE WATER DISTRICT,Fresno,DISTRICT 23 - FRESNO,California Water District,NA,No,Yes,Variable,Limited,Limited,50,146,56420.37513,47.27533292,Failing,YES,NO,NO,NO,NO,0.5,1.33,0.33,0.33,0,2.49,Failing,0,0,0.5,Did not complete survey,No,No,C,SW,SW,Self-produced,4.990432586778736
CA3710036,BORREGO WD,San Diego,DISTRICT 26 - IMPERIAL,California Water District,NA,No,Yes,Variable,Full,Full,2049,3429,108232.7268,18.23513559,Not At-Risk,NO,NO,NO,NO,NO,0,1.17,0,0.67,3349694,1.84,Not Failing,0,0,0,Yes,Yes,Yes,C,GW,GW,Self-produced,8.140315540159985
CA3700074,CUYAMACA WATER DISTRICT,San Diego,DISTRICT 26 - IMPERIAL,California Water District,NA,No,Yes,Variable,Full,Full,318,525,48329,13.57602479,Failing,NO,YES,NO,NO,NO,0.75,0.33,0.75,0,0,1.83,Failing,0.75,0,0,No,No,No,C,GW,GW,Self-produced,6.26530121273771
CA3701837,WYNOLA WATER DISTRICT,San Diego,DISTRICT 26 - IMPERIAL,California Water District,NA,No,Yes,Variable,Full,Full,73,120,40227,13.57602479,Failing,NO,YES,NO,NO,NO,0.25,0.33,0.75,0.17,0,1.5,Failing,0.75,0,0,Did not complete survey,No,No,C,GW,GW,Self-produced,4.795790545596741
CA0400014,LAKE MADRONE WATER DISTRICT,Butte,LPA34 - BUTTE COUNTY,California Water District,NA,No,Yes,Variable,Limited,Limited,123,297,29035,31.48889645,At-Risk,NO,NO,NO,NO,NO,0,1.33,0.33,0.67,0,2.33,Not Failing,0,0,0.5,No,No,No,C,GW,GW,Self-produced,5.697093486505405
CA2810014,SPANISH FLAT WATER DISTRICT,Napa,LPA58 - NAPA COUNTY,California Water District,NA,No,Yes,Variable,Limited,Limited,97,230,47045,15.07085257,At-Risk,NO,NO,NO,NO,NO,2,1.33,1,1.5,0,5.83,Not Failing,NA,NA,0.5,Did not complete survey,No,No,C,SW,SW,Self-produced,5.442417710521793
CA4500303,TUCKER OAKS EAST WATER DISTRICT,Shasta,LPA75 - SHASTA COUNTY,California Water District,NA,No,Yes,Variable,Limited,Limited,34,95,47432,21.67927781,Not At-Risk,NO,NO,NO,NO,NO,0,1.33,0.33,0.67,0,2.33,Not Failing,0,0,0.5,No,No,No,C,GW,GW,Self-produced,4.564348191467836
CA1210001,"ARCATA, CITY OF",Humboldt,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,6280,19558,45889.33997,31.20642237,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.67,0,0,0.67,Not Failing,0,0,1,Yes,Yes,No,C,GWP,GW,Purchased,9.881190817537517
CA1210002,"BLUE LAKE, CITY OF",Humboldt,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,699,1245,49270.26833,17.53974925,At-Risk,NO,NO,NO,NO,NO,0,1,1.67,0.67,0,3.34,Not Failing,1,1,0.5,Yes,Yes,No,C,GWP,GW,Purchased,7.1276936993473985
CA4710001,"DORRIS, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,438,887,35928.79279,17.18245688,Not At-Risk,NO,NO,NO,NO,NO,0,1,1.08,0,2324070,2.08,Not Failing,0.75,0,0.5,Yes,Yes,Yes,C,GW,GW,Self-produced,6.78897174299217
CA4710002,"DUNSMUIR, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,1187,1707,31733.89063,20.01752824,At-Risk,NO,NO,NO,NO,NO,0,2,1.42,0,5049303,3.42,Not Failing,0.75,0,1,No,No,Yes,C,GW,GW,Self-produced,7.443078374348516
CA4710004,"ETNA, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,413,720,39285.85803,11.36609274,Potentially At-Risk,NO,NO,NO,NO,NO,0,1.33,1,0.33,500000,2.66,Not Failing,NA,NA,0.5,Yes,No,Yes,C,SW,SW,Self-produced,6.580639137284949
CA1210004,"EUREKA, CITY OF",Humboldt,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,10412,27078,45246.6248,31.20642237,Not At-Risk,NO,NO,NO,NO,NO,0,0,0.67,0,0,0.67,Not Failing,0,0,1,Yes,Yes,No,C,GWP,GW,Purchased,10.206513798722508
CA4710003,"FORT JONES, TOWN OF",Siskiyou,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,347,675,23103.96119,15.50184515,At-Risk,NO,NO,NO,NO,NO,0,1.5,1.42,0.67,0,3.59,Not Failing,0.75,0,1,Yes,Yes,No,C,GW,GW,Self-produced,6.516193076042964
CA1210006,"FORTUNA, CITY OF",Humboldt,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,4614,12133,54840.29614,14.75218053,Not At-Risk,NO,NO,NO,NO,NO,0,0.33,0.67,0.67,0,1.67,Not Failing,0,0,1,Yes,Yes,No,C,GW,GW,Self-produced,9.403766708502243
CA4710007,"MONTAGUE, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,536,1495,48261.06563,25.60578175,Not At-Risk,NO,NO,NO,NO,NO,0,0.5,0,0.17,0,0.67,Not Failing,NA,NA,0,No,No,No,C,SW,SW,Self-produced,7.310550158534422
CA4710008,"MT. SHASTA, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,1872,3642,31526.35298,20.82671348,Not At-Risk,NO,NO,NO,NO,NO,0,0.5,0.67,0.67,6838797,1.84,Not Failing,0,0,1,Yes,Yes,Yes,C,GW,GW,Self-produced,8.200562797008564
CA1210012,"RIO DELL, CITY OF",Humboldt,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,1284,3300,28728.82899,21.72925706,Not At-Risk,NO,NO,NO,NO,NO,0.25,0.33,1.67,0,1079176,2.25,Not Failing,1,0,1,Yes,Yes,Yes,C,SW,SW,Self-produced,8.101980731853192
CA1210018,"TRINIDAD, CITY OF",Humboldt,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,324,1072,70918.81379,10.99230037,At-Risk,NO,NO,NO,NO,NO,1.5,1.33,0.33,0.67,0,3.83,Not Failing,0,0,0.5,No,No,No,C,SW,SW,Self-produced,6.9782137426306985
CA4710010,"TULELAKE, CITY OF",Siskiyou,DISTRICT 01 - KLAMATH,City,NA,No,Yes,Full,NA,Full,473,966,38024.98681,18.57169949,Not At-Risk,NO,NO,NO,NO,NO,0,1,0.33,0,166500,1.33,Not Failing,0,0,0.5,Did not complete survey,No,Yes,C,GW,GW,Self-produced,6.874198495453294
