PWSID,PWS_Name,Counties_Served,Primacy_FINAL,Primacy_agency_SWRCB email,SAFER_REGULATOR,TYPE_consolidated_2018_original,Draft_inst_update_source,Draft_inst_update,Final_inst_update,Inst_Subtype,Notes,Notes_last_updated,Weird_case,Activemarch29?,SAFER_status_2023
CA2400209,SAN LUIS HILLS,Merced,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,DISTRICT 11 - MERCED,Private,Original,Private,California Water District,,SLWD - SAN LUIS HILLS; MSR says they ar emostly ag but provide water to san luis hills community. is a CA water district. https://www.lafcomerced.org/pdfs/MunicipalServiceReviews/Ag%20Irrigation%20Service%20Providers%202022.pdf,3/10/23,,SAN LUIS HILLS,Failing
CA4510014,BELLA VISTA WATER DISTRICT,Shasta,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,Water District,Original,Water District,California Water District,,,,,BELLA VISTA WATER DISTRICT,Not At-Risk
CA1810003,LASSEN COUNTY WATER DISTRICT #1,Lassen,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,DISTRICT 02 - LASSEN,Water District,Original,Water District,California Water District,,,,,LASSEN COUNTY WATER DISTRICT #1,Potentially At-Risk
CA3110022,MCKINNEY WATER DISTRICT,Placer,DISTRICT 02 - LASSEN,#N/A,DISTRICT 02 - LASSEN,Water District,Original,Water District,California Water District,,,,,MCKINNEY WATER DISTRICT,Not At-Risk
CA2310012,IRISH BEACH WATER DISTRICT,Mendocino,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,Water District,Original,Water District,California Water District,,,,,IRISH BEACH WATER DISTRICT,Not At-Risk
CA1700579,VILLA BLUE ESTATES WATER DISTRICT,Lake,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,DISTRICT 03 - MENDOCINO,Water District,Original,Water District,California Water District,,,,,VILLA BLUE ESTATES WATER DISTRICT,At-Risk
CA3010092,IRVINE RANCH WATER DISTRICT,Orange,DISTRICT 08 - SANTA ANA,DISTRICT 08 - SANTA ANA,DISTRICT 08 - SANTA ANA,Water District,Original,Water District,California Water District,,,,,IRVINE RANCH WATER DISTRICT,Not Assessed
CA3010101,SANTA MARGARITA WATER DISTRICT,Orange,DISTRICT 08 - SANTA ANA,DISTRICT 08 - SANTA ANA,DISTRICT 08 - SANTA ANA,Water District,Consolidations,Water District,California Water District,,,,,SANTA MARGARITA WATER DISTRICT,Not Assessed
CA3010079,EL TORO WATER DISTRICT,Orange,DISTRICT 08 - SANTA ANA,#N/A,DISTRICT 08 - SANTA ANA,Water District,Original,Water District,California Water District,,,,,EL TORO WATER DISTRICT,Potentially At-Risk
CA3010073,MOULTON NIGUEL WATER DISTRICT,Orange,DISTRICT 08 - SANTA ANA,#N/A,DISTRICT 08 - SANTA ANA,Water District,Original,Water District,California Water District,,,,,MOULTON NIGUEL WATER DISTRICT,Not Assessed
